problemId,tags,rating,name,solved,rank
1792:F2,brute force,,Graph Coloring (hard version),96,grandmaster
1792:F2,divide and conquer,,Graph Coloring (hard version),96,grandmaster
1792:F2,dp,,Graph Coloring (hard version),96,grandmaster
1792:F2,fft,,Graph Coloring (hard version),96,grandmaster
1792:F2,graphs,,Graph Coloring (hard version),96,grandmaster
1792:F1,dp,,Graph Coloring (easy version),185,grandmaster
1792:F1,graphs,,Graph Coloring (easy version),185,grandmaster
1792:E,brute force,,Divisors and Table,498,grandmaster
1792:E,dfs and similar,,Divisors and Table,498,grandmaster
1792:E,dp,,Divisors and Table,498,grandmaster
1792:E,implementation,,Divisors and Table,498,grandmaster
1792:E,number theory,,Divisors and Table,498,grandmaster
1792:D,binary search,,Fixed Prefix Permutations,2959,grandmaster
1792:D,data structures,,Fixed Prefix Permutations,2959,grandmaster
1792:D,hashing,,Fixed Prefix Permutations,2959,grandmaster
1792:D,math,,Fixed Prefix Permutations,2959,grandmaster
1792:D,sortings,,Fixed Prefix Permutations,2959,grandmaster
1792:C,binary search,,Min Max Sort,6044,grandmaster
1792:C,brute force,,Min Max Sort,6044,grandmaster
1792:C,greedy,,Min Max Sort,6044,grandmaster
1792:C,math,,Min Max Sort,6044,grandmaster
1792:C,two pointers,,Min Max Sort,6044,grandmaster
1792:B,greedy,,Stand-up Comedian,10355,grandmaster
1792:B,math,,Stand-up Comedian,10355,grandmaster
1792:A,greedy,,GamingForces,17313,grandmaster
1792:A,sortings,,GamingForces,17313,grandmaster
1783:G,data structures,2800.0,Weighed Tree Radius,226,grandmaster
1783:G,divide and conquer,2800.0,Weighed Tree Radius,226,grandmaster
1783:G,implementation,2800.0,Weighed Tree Radius,226,grandmaster
1783:G,trees,2800.0,Weighed Tree Radius,226,grandmaster
1783:F,dfs and similar,2500.0,Double Sort II,515,grandmaster
1783:F,flows,2500.0,Double Sort II,515,grandmaster
1783:F,graph matchings,2500.0,Double Sort II,515,grandmaster
1783:F,graphs,2500.0,Double Sort II,515,grandmaster
1783:E,brute force,2300.0,Game of the Year,1389,master
1783:E,data structures,2300.0,Game of the Year,1389,master
1783:E,math,2300.0,Game of the Year,1389,master
1783:E,number theory,2300.0,Game of the Year,1389,master
1783:D,brute force,2000.0,Different Arrays,2752,candidate master
1783:D,dp,2000.0,Different Arrays,2752,candidate master
1783:D,implementation,2000.0,Different Arrays,2752,candidate master
1783:C,binary search,1700.0,Yet Another Tournament,6239,expert
1783:C,greedy,1700.0,Yet Another Tournament,6239,expert
1783:C,sortings,1700.0,Yet Another Tournament,6239,expert
1783:B,constructive algorithms,1100.0,Matrix of Differences,13383,pupil
1783:B,math,1100.0,Matrix of Differences,13383,pupil
1783:A,constructive algorithms,800.0,Make it Beautiful,20509,pupil
1783:A,math,800.0,Make it Beautiful,20509,pupil
1783:A,sortings,800.0,Make it Beautiful,20509,pupil
1781:H2,,3500.0,Window Signals (hard version),32,grandmaster
1781:H1,,3200.0,Window Signals (easy version),60,grandmaster
1781:G,constructive algorithms,3200.0,Diverse Coloring,92,grandmaster
1781:G,trees,3200.0,Diverse Coloring,92,grandmaster
1781:F,combinatorics,2700.0,Bracket Insertion,414,grandmaster
1781:F,dp,2700.0,Bracket Insertion,414,grandmaster
1781:F,math,2700.0,Bracket Insertion,414,grandmaster
1781:F,trees,2700.0,Bracket Insertion,414,grandmaster
1781:E,binary search,2300.0,Rectangle Shrinking,1025,master
1781:E,brute force,2300.0,Rectangle Shrinking,1025,master
1781:E,data structures,2300.0,Rectangle Shrinking,1025,master
1781:E,greedy,2300.0,Rectangle Shrinking,1025,master
1781:E,implementation,2300.0,Rectangle Shrinking,1025,master
1781:E,two pointers,2300.0,Rectangle Shrinking,1025,master
1781:D,brute force,1800.0,Many Perfect Squares,3429,expert
1781:D,math,1800.0,Many Perfect Squares,3429,expert
1781:D,number theory,1800.0,Many Perfect Squares,3429,expert
1781:C,brute force,1600.0,Equal Frequencies,4655,expert
1781:C,constructive algorithms,1600.0,Equal Frequencies,4655,expert
1781:C,greedy,1600.0,Equal Frequencies,4655,expert
1781:C,implementation,1600.0,Equal Frequencies,4655,expert
1781:C,sortings,1600.0,Equal Frequencies,4655,expert
1781:C,strings,1600.0,Equal Frequencies,4655,expert
1781:B,brute force,1000.0,Going to the Cinema,9824,pupil
1781:B,greedy,1000.0,Going to the Cinema,9824,pupil
1781:B,sortings,1000.0,Going to the Cinema,9824,pupil
1781:A,geometry,800.0,Parallel Projection,12239,pupil
1781:A,math,800.0,Parallel Projection,12239,pupil
1780:G,binary search,,Delicious Dessert,234,grandmaster
1780:G,math,,Delicious Dessert,234,grandmaster
1780:G,number theory,,Delicious Dessert,234,grandmaster
1780:G,string suffix structures,,Delicious Dessert,234,grandmaster
1780:F,bitmasks,,Three Chairs,584,grandmaster
1780:F,combinatorics,,Three Chairs,584,grandmaster
1780:F,data structures,,Three Chairs,584,grandmaster
1780:F,dp,,Three Chairs,584,grandmaster
1780:F,number theory,,Three Chairs,584,grandmaster
1780:F,sortings,,Three Chairs,584,grandmaster
1780:E,binary search,,Josuke and Complete Graph,535,grandmaster
1780:E,brute force,,Josuke and Complete Graph,535,grandmaster
1780:E,data structures,,Josuke and Complete Graph,535,grandmaster
1780:E,math,,Josuke and Complete Graph,535,grandmaster
1780:E,number theory,,Josuke and Complete Graph,535,grandmaster
1780:D,binary search,,Bit Guessing Game,2483,grandmaster
1780:D,bitmasks,,Bit Guessing Game,2483,grandmaster
1780:D,constructive algorithms,,Bit Guessing Game,2483,grandmaster
1780:D,interactive,,Bit Guessing Game,2483,grandmaster
1780:B,brute force,,GCD Partition,10496,grandmaster
1780:B,greedy,,GCD Partition,10496,grandmaster
1780:B,math,,GCD Partition,10496,grandmaster
1780:B,number theory,,GCD Partition,10496,grandmaster
1780:A,constructive algorithms,,Hayato and School,15592,grandmaster
1780:A,greedy,,Hayato and School,15592,grandmaster
1779:H,brute force,3500.0,Olympic Team Building,90,grandmaster
1779:H,meet-in-the-middle,3500.0,Olympic Team Building,90,grandmaster
1779:G,constructive algorithms,3000.0,The Game of the Century,191,grandmaster
1779:G,graphs,3000.0,The Game of the Century,191,grandmaster
1779:G,shortest paths,3000.0,The Game of the Century,191,grandmaster
1779:F,bitmasks,2500.0,Xorcerer's Stones,914,grandmaster
1779:F,constructive algorithms,2500.0,Xorcerer's Stones,914,grandmaster
1779:F,dp,2500.0,Xorcerer's Stones,914,grandmaster
1779:F,trees,2500.0,Xorcerer's Stones,914,grandmaster
1779:E,constructive algorithms,2400.0,Anya's Simultaneous Exhibition,1305,grandmaster
1779:E,graphs,2400.0,Anya's Simultaneous Exhibition,1305,grandmaster
1779:E,greedy,2400.0,Anya's Simultaneous Exhibition,1305,grandmaster
1779:E,interactive,2400.0,Anya's Simultaneous Exhibition,1305,grandmaster
1779:E,sortings,2400.0,Anya's Simultaneous Exhibition,1305,grandmaster
1779:D,constructive algorithms,1700.0,Boris and His Amazing Haircut,5296,expert
1779:D,data structures,1700.0,Boris and His Amazing Haircut,5296,expert
1779:D,dp,1700.0,Boris and His Amazing Haircut,5296,expert
1779:D,dsu,1700.0,Boris and His Amazing Haircut,5296,expert
1779:D,greedy,1700.0,Boris and His Amazing Haircut,5296,expert
1779:D,sortings,1700.0,Boris and His Amazing Haircut,5296,expert
1779:C,data structures,1600.0,Least Prefix Sum,8643,expert
1779:C,greedy,1600.0,Least Prefix Sum,8643,expert
1779:B,constructive algorithms,900.0,MKnez's ConstructiveForces Task,18050,pupil
1779:B,math,900.0,MKnez's ConstructiveForces Task,18050,pupil
1779:A,constructive algorithms,800.0,Hall of Fame,20008,pupil
1779:A,greedy,800.0,Hall of Fame,20008,pupil
1779:A,strings,800.0,Hall of Fame,20008,pupil
1777:F,bitmasks,,Comfortably Numb,390,grandmaster
1777:F,data structures,,Comfortably Numb,390,grandmaster
1777:F,divide and conquer,,Comfortably Numb,390,grandmaster
1777:F,strings,,Comfortably Numb,390,grandmaster
1777:F,trees,,Comfortably Numb,390,grandmaster
1777:E,binary search,,Edge Reverse,855,grandmaster
1777:E,dfs and similar,,Edge Reverse,855,grandmaster
1777:E,graphs,,Edge Reverse,855,grandmaster
1777:E,trees,,Edge Reverse,855,grandmaster
1777:D,bitmasks,,Score of a Tree,1795,grandmaster
1777:D,combinatorics,,Score of a Tree,1795,grandmaster
1777:D,dfs and similar,,Score of a Tree,1795,grandmaster
1777:D,dp,,Score of a Tree,1795,grandmaster
1777:D,math,,Score of a Tree,1795,grandmaster
1777:D,probabilities,,Score of a Tree,1795,grandmaster
1777:D,trees,,Score of a Tree,1795,grandmaster
1777:C,binary search,,Quiz Master,4479,grandmaster
1777:C,math,,Quiz Master,4479,grandmaster
1777:C,number theory,,Quiz Master,4479,grandmaster
1777:C,sortings,,Quiz Master,4479,grandmaster
1777:C,two pointers,,Quiz Master,4479,grandmaster
1777:B,combinatorics,,Emordnilap,12290,grandmaster
1777:B,greedy,,Emordnilap,12290,grandmaster
1777:B,math,,Emordnilap,12290,grandmaster
1777:A,greedy,,Everybody Likes Good Arrays!,15541,grandmaster
1777:A,math,,Everybody Likes Good Arrays!,15541,grandmaster
1775:F,constructive algorithms,2500.0,Laboratory on Pluto,497,grandmaster
1775:F,dp,2500.0,Laboratory on Pluto,497,grandmaster
1775:F,greedy,2500.0,Laboratory on Pluto,497,grandmaster
1775:F,math,2500.0,Laboratory on Pluto,497,grandmaster
1775:E,greedy,2100.0,The Human Equation,2082,master
1775:E,implementation,2100.0,The Human Equation,2082,master
1775:D,dfs and similar,1800.0,Friendly Spiders,3475,expert
1775:D,graphs,1800.0,Friendly Spiders,3475,expert
1775:D,math,1800.0,Friendly Spiders,3475,expert
1775:D,number theory,1800.0,Friendly Spiders,3475,expert
1775:D,shortest paths,1800.0,Friendly Spiders,3475,expert
1775:C,bitmasks,1600.0,Interesting Sequence,6420,expert
1775:C,math,1600.0,Interesting Sequence,6420,expert
1775:B,bitmasks,1300.0,Gardener and the Array,8686,novice
1775:B,constructive algorithms,1300.0,Gardener and the Array,8686,novice
1775:A2,constructive algorithms,900.0,Gardener and the Capybaras (hard version),13957,pupil
1775:A2,greedy,900.0,Gardener and the Capybaras (hard version),13957,pupil
1775:A1,brute force,800.0,Gardener and the Capybaras (easy version),15332,pupil
1775:A1,constructive algorithms,800.0,Gardener and the Capybaras (easy version),15332,pupil
1775:A1,implementation,800.0,Gardener and the Capybaras (easy version),15332,pupil
1774:H,constructive algorithms,3500.0,Maximum Permutation,92,grandmaster
1774:G,brute force,3200.0,Segment Covering,165,grandmaster
1774:G,combinatorics,3200.0,Segment Covering,165,grandmaster
1774:G,constructive algorithms,3200.0,Segment Covering,165,grandmaster
1774:G,data structures,3200.0,Segment Covering,165,grandmaster
1774:G,dp,3200.0,Segment Covering,165,grandmaster
1774:G,trees,3200.0,Segment Covering,165,grandmaster
1774:F2,binary search,2700.0,Magician and Pigs (Hard Version),434,grandmaster
1774:F2,brute force,2700.0,Magician and Pigs (Hard Version),434,grandmaster
1774:F2,data structures,2700.0,Magician and Pigs (Hard Version),434,grandmaster
1774:F2,implementation,2700.0,Magician and Pigs (Hard Version),434,grandmaster
1774:F1,brute force,2400.0,Magician and Pigs (Easy Version),798,grandmaster
1774:F1,data structures,2400.0,Magician and Pigs (Easy Version),798,grandmaster
1774:F1,implementation,2400.0,Magician and Pigs (Easy Version),798,grandmaster
1774:E,dfs and similar,1900.0,Two Chess Pieces,2398,candidate master
1774:E,dp,1900.0,Two Chess Pieces,2398,candidate master
1774:E,greedy,1900.0,Two Chess Pieces,2398,candidate master
1774:E,trees,1900.0,Two Chess Pieces,2398,candidate master
1774:D,brute force,1600.0,Same Count One,5322,expert
